x,y,vx,vy,pressure,type
-1.07273695e-02,-2.94230299e-03,-6.37585127e-01,-9.99552434e-02,0.00000000e+00,0
-7.32672228e-03,-2.18093505e-03,-2.09564069e-01,3.14970488e-01,-4.53665769e+02,0
-5.16190035e-03,-2.72846348e-03,-1.35669710e-02,1.05247756e-01,0.00000000e+00,0
-2.83849439e-03,-2.83849439e-03,-4.33950568e-02,-4.33950568e-02,-2.37078067e+02,0
-9.71732867e-04,-2.97987416e-03,1.33561048e-01,-4.15131390e-02,-1.63013786e+02,0
9.71732867e-04,-2.97987416e-03,-1.33561048e-01,-4.15131390e-02,-1.63013786e+02,0
2.83849439e-03,-2.83849439e-03,4.33950568e-02,-4.33950568e-02,-2.37078067e+02,0
5.16190035e-03,-2.72846348e-03,1.35669710e-02,1.05247756e-01,0.00000000e+00,0
7.32672228e-03,-2.18093505e-03,2.09564069e-01,3.14970488e-01,-4.53665769e+02,0
1.07273695e-02,-2.94230299e-03,6.37585127e-01,-9.99552434e-02,0.00000000e+00,0
-1.07011277e-02,-9.54900673e-04,-6.61507922e-01,1.25541687e-03,0.00000000e+00,0
-7.53956997e-03,-9.56940999e-04,-3.07172890e-01,1.70006457e-01,-2.53448986e+02,0
-5.21636917e-03,-1.07796549e-03,-2.58693539e-02,7.27678801e-03,7.07869226e+01,0
-2.97987416e-03,-9.71732867e-04,-4.15131390e-02,1.33561048e-01,-1.63013786e+02,0
-1.05972355e-03,-1.05972355e-03,1.33533741e-01,1.33533741e-01,-2.05008379e+02,0
1.05972355e-03,-1.05972355e-03,-1.33533741e-01,1.33533741e-01,-2.05008379e+02,0
2.97987416e-03,-9.71732867e-04,4.15131390e-02,1.33561048e-01,-1.63013786e+02,0
5.21636917e-03,-1.07796549e-03,2.58693539e-02,7.27678801e-03,7.07869226e+01,0
7.53956997e-03,-9.56940999e-04,3.07172890e-01,1.70006457e-01,-2.53448986e+02,0
1.07011277e-02,-9.54900673e-04,6.61507922e-01,1.25541687e-03,0.00000000e+00,0
-1.07011277e-02,9.54900673e-04,-6.61507922e-01,-1.25541687e-03,0.00000000e+00,0
-7.53956997e-03,9.56940999e-04,-3.07172890e-01,-1.70006457e-01,-2.53448986e+02,0
-5.21636917e-03,1.07796549e-03,-2.58693539e-02,-7.27678801e-03,7.07869226e+01,0
-2.97987416e-03,9.71732867e-04,-4.15131390e-02,-1.33561048e-01,-1.63013786e+02,0
-1.05972355e-03,1.05972355e-03,1.33533741e-01,-1.33533741e-01,-2.05008379e+02,0
1.05972355e-03,1.05972355e-03,-1.33533741e-01,-1.33533741e-01,-2.05008379e+02,0
2.97987416e-03,9.71732867e-04,4.15131390e-02,-1.33561048e-01,-1.63013786e+02,0
5.21636917e-03,1.07796549e-03,2.58693539e-02,-7.27678801e-03,7.07869226e+01,0
7.53956997e-03,9.56940999e-04,3.07172890e-01,-1.70006457e-01,-2.53448986e+02,0
1.07011277e-02,9.54900673e-04,6.61507922e-01,-1.25541687e-03,0.00000000e+00,0
-1.07273695e-02,2.94230299e-03,-6.37585127e-01,9.99552434e-02,0.00000000e+00,0
-7.32672228e-03,2.18093505e-03,-2.09564069e-01,-3.14970488e-01,-4.53665769e+02,0
-5.16190035e-03,2.72846348e-03,-1.35669710e-02,-1.05247756e-01,0.00000000e+00,0
-2.83849439e-03,2.83849439e-03,-4.33950568e-02,4.33950568e-02,-2.37078067e+02,0
-9.71732867e-04,2.97987416e-03,1.33561048e-01,4.15131390e-02,-1.63013786e+02,0
9.71732867e-04,2.97987416e-03,-1.33561048e-01,4.15131390e-02,-1.63013786e+02,0
2.83849439e-03,2.83849439e-03,4.33950568e-02,4.33950568e-02,-2.37078067e+02,0
5.16190035e-03,2.72846348e-03,1.35669710e-02,-1.05247756e-01,0.00000000e+00,0
7.32672228e-03,2.18093505e-03,2.09564069e-01,-3.14970488e-01,-4.53665769e+02,0
1.07273695e-02,2.94230299e-03,6.37585127e-01,9.99552434e-02,0.00000000e+00,0
-1.14240241e-02,5.10695879e-03,-9.02951477e-01,1.75537521e-01,0.00000000e+00,0
-7.41887974e-03,3.92197135e-03,-3.00251687e-01,-2.14406554e-01,0.00000000e+00,0
-4.62696623e-03,4.62696623e-03,1.24318168e-01,-1.24318168e-01,0.00000000e+00,0
-2.72846348e-03,5.16190035e-03,1.05247756e-01,1.35669710e-02,0.00000000e+00,0
-1.07796549e-03,5.21636917e-03,7.27678801e-03,2.58693539e-02,7.07869226e+01,0
1.07796549e-03,5.21636917e-03,-7.27678801e-03,2.58693539e-02,7.07869226e+01,0
2.72846348e-03,5.16190035e-03,-1.05247756e-01,1.35669710e-02,0.00000000e+00,0
4.62696623e-03,4.62696623e-03,-1.24318168e-01,-1.24318168e-01,0.00000000e+00,0
7.41887974e-03,3.92197135e-03,3.00251687e-01,-2.14406554e-01,0.00000000e+00,0
1.14240241e-02,5.10695879e-03,9.02951477e-01,1.75537521e-01,0.00000000e+00,0
-1.15926740e-02,7.82281177e-03,-8.65481654e-01,3.89380944e-01,0.00000000e+00,0
-7.30309464e-03,7.30309464e-03,-2.81848645e-01,2.81848645e-01,0.00000000e+00,0
-3.92197135e-03,7.41887974e-03,2.14406554e-01,3.00251687e-01,0.00000000e+00,0
-2.18093505e-03,7.32672228e-03,3.14970488e-01,2.09564069e-01,-4.53665769e+02,0
-9.56940999e-04,7.53956997e-03,1.70006457e-01,3.07172890e-01,-2.53448986e+02,0
9.56940999e-04,7.53956997e-03,-1.70006457e-01,3.07172890e-01,-2.53448986e+02,0
2.18093505e-03,7.32672228e-03,-3.14970488e-01,2.09564069e-01,-4.53665769e+02,0
3.92197135e-03,7.41887974e-03,-2.14406554e-01,3.00251687e-01,0.00000000e+00,0
7.30309464e-03,7.30309464e-03,2.81848645e-01,2.81848645e-01,0.00000000e+00,0
1.15926740e-02,7.82281177e-03,8.65481654e-01,3.89380944e-01,0.00000000e+00,0
-1.13804756e-02,1.13804756e-02,-6.32881453e-01,6.32881453e-01,0.00000000e+00,0
-7.82281177e-03,1.15926740e-02,-3.89380944e-01,8.65481654e-01,0.00000000e+00,0
-5.10695879e-03,1.14240241e-02,-1.75537521e-01,9.02951477e-01,0.00000000e+00,0
-2.94230299e-03,1.07273695e-02,-9.99552434e-02,6.37585127e-01,0.00000000e+00,0
-9.54900673e-04,1.07011277e-02,1.25541687e-03,6.61507922e-01,0.00000000e+00,0
9.54900673e-04,1.07011277e-02,-1.25541687e-03,6.61507922e-01,0.00000000e+00,0
2.94230299e-03,1.07273695e-02,9.99552434e-02,6.37585127e-01,0.00000000e+00,0
5.10695879e-03,1.14240241e-02,1.75537521e-01,9.02951477e-01,0.00000000e+00,0
7.82281177e-03,1.15926740e-02,3.89380944e-01,8.65481654e-01,0.00000000e+00,0
1.13804756e-02,1.13804756e-02,6.32881453e-01,6.32881453e-01,0.00000000e+00,0
